7518,2021-11-09,?,4,9,10,14,18,22,23,25,30,32,33,34,36,37,42,43,50,52,74,75,76
7519,2021-11-10,?,1,1,2,7,10,11,14,15,28,36,37,40,42,44,53,57,58,62,63,65,68
7520,2021-11-11,?,3,4,5,6,8,10,12,16,21,24,28,37,39,47,51,56,59,67,68,73,78
7521,2021-11-12,?,1,1,3,13,14,16,25,26,30,32,37,43,45,46,49,50,59,72,73,76,77
7522,2021-11-13,?,1,6,11,12,15,20,21,29,31,36,45,49,53,54,55,56,60,67,68,75,77
7523,2021-11-14,?,3,5,11,12,16,23,24,36,38,39,41,44,45,46,48,57,58,59,62,64,73
7524,2021-11-15,?,4,3,5,8,19,24,27,28,29,34,44,45,46,47,53,59,63,64,67,68,76
7525,2021-11-16,?,4,3,4,11,12,16,17,18,26,28,30,34,35,37,38,39,44,58,63,68,80
7526,2021-11-17,?,3,1,5,12,17,23,25,26,31,33,35,36,40,48,49,55,57,59,64,66,75
7527,2021-11-18,?,1,8,12,23,24,25,26,36,38,39,40,41,42,43,48,50,53,61,64,72,80
7528,2021-11-19,?,3,2,3,8,10,12,13,21,22,24,28,31,32,34,37,53,60,71,73,75,78
7529,2021-11-20,?,2,1,2,3,7,8,17,19,22,32,33,37,42,43,46,47,58,60,66,71,80
7530,2021-11-21,?,3,8,9,13,15,19,21,23,28,35,41,42,43,46,49,52,58,65,70,74,75
7531,2021-11-22,?,1,2,4,7,19,20,23,25,26,29,39,41,42,44,47,49,53,54,57,72,74
7532,2021-11-23,?,4,5,17,19,21,28,32,37,39,40,43,46,51,52,54,62,65,66,67,68,77
7533,2021-11-24,?,1,8,9,10,16,21,23,26,29,30,32,35,38,40,50,57,59,63,66,68,76
7534,2021-11-25,?,2,2,4,7,9,11,17,23,26,29,32,34,43,44,62,64,68,69,76,79,80
7535,2021-11-26,?,4,1,3,6,13,18,23,24,33,38,40,41,42,45,51,56,63,69,70,75,80
7536,2021-11-27,?,4,1,7,9,12,13,14,21,25,27,33,34,38,49,53,62,64,68,69,75,76
7537,2021-11-28,?,3,9,13,17,22,23,27,29,50,55,59,60,61,66,67,69,71,72,73,77,78
7538,2021-11-29,?,2,1,5,9,11,12,20,21,29,30,31,32,39,45,46,53,60,61,65,76,80
7539,2021-11-30,?,4,3,4,11,15,19,21,22,24,27,29,30,32,41,51,53,55,58,59,66,73
7540,2021-12-01,?,3,9,16,18,25,26,27,29,30,31,33,44,46,52,56,61,63,67,70,76,78
7541,2021-12-02,?,4,8,12,13,14,19,23,30,31,36,42,45,55,56,57,62,69,70,74,77,79
