2001,2020-06-10,b,1,14,18,21,31,38,50
2002,2020-06-13,b,4,4,10,13,22,30,33
2003,2020-06-17,a,3,10,11,33,35,39,42
2004,2020-06-20,b,3,4,11,15,18,34,44
2005,2020-06-24,a,2,11,23,28,36,37,46
2006,2020-06-27,b,4,4,10,21,35,44,48
2007,2020-07-01,a,3,25,27,33,39,48,49
2008,2020-07-04,b,3,15,22,24,25,28,46
2009,2020-07-08,b,2,2,9,10,14,18,51
2010,2020-07-11,b,3,14,21,27,37,44,50
2011,2020-07-15,b,2,11,17,20,21,45,51
2012,2020-07-18,b,1,8,16,32,34,39,47
2013,2020-07-22,a,2,6,16,21,29,37,46
2014,2020-07-25,b,1,2,25,28,46,48,49
2015,2020-07-29,b,4,4,10,20,25,38,50
2016,2020-08-01,b,4,2,8,11,28,29,49
2017,2020-08-05,b,1,20,28,30,32,47,51
2018,2020-08-08,b,3,5,9,13,22,27,44
2019,2020-08-12,a,3,25,31,40,42,47,49
2020,2020-08-15,b,1,2,7,20,37,40,42
2021,2020-08-19,a,2,7,28,29,35,38,43
2022,2020-08-22,b,3,6,9,38,40,50,52
2023,2020-08-26,a,2,17,29,31,34,45,52
2024,2020-08-29,a,2,10,17,32,33,35,48
2025,2020-09-02,a,3,9,14,22,27,43,50
2026,2020-09-05,b,3,1,22,24,45,49,51
2027,2020-09-09,b,1,6,10,17,23,33,38
2028,2020-09-12,b,2,3,13,24,25,28,40
2029,2020-09-16,b,1,20,27,28,40,43,50
2030,2020-09-19,b,1,1,9,12,18,44,46
2031,2020-09-23,b,4,9,17,31,36,42,44
2032,2020-09-26,b,4,11,13,17,24,29,37
2033,2020-09-30,b,1,20,28,42,44,46,52
2034,2020-10-03,b,1,1,6,7,17,38,44
2035,2020-10-07,a,1,3,7,9,12,23,29
2036,2020-10-10,a,4,5,13,22,40,43,50
2037,2020-10-14,b,2,8,14,19,22,27,46
2038,2020-10-17,a,2,3,6,10,14,26,42
2039,2020-10-21,a,2,16,21,22,33,44,47
2040,2020-10-24,b,3,3,6,32,40,43,51
